,Actividad,Calificación,URL
24,Sognsvann Lake,4.5,https://www.tripadvisor.es//Attraction_Review-g190479-d591712-Reviews-Sognsvann_Lake-Oslo_Eastern_Norway.html
25,The Norwegian Museum of Science and Tehnology,4.5,https://www.tripadvisor.es//Attraction_Review-g190479-d246071-Reviews-The_Norwegian_Museum_of_Science_and_Tehnology-Oslo_Eastern_Norway.html
26,Grünerløkka,4.0,https://www.tripadvisor.es//Attraction_Review-g190479-d656575-Reviews-Grunerlokka-Oslo_Eastern_Norway.html
27,Fortaleza de Oscarborg,4.5,https://www.tripadvisor.es//Attraction_Review-g190479-d656591-Reviews-Oscarsborg_Fortress-Oslo_Eastern_Norway.html
28,Astrup Fearnley Museet,4.0,https://www.tripadvisor.es//Attraction_Review-g190479-d640690-Reviews-Astrup_Fearnley_Museet-Oslo_Eastern_Norway.html
29,Korketrekkeren,4.5,https://www.tripadvisor.es//Attraction_Review-g190479-d591707-Reviews-Korketrekkeren-Oslo_Eastern_Norway.html
30,Hovedoya,4.5,https://www.tripadvisor.es//Attraction_Review-g190479-d656583-Reviews-Hovedoya-Oslo_Eastern_Norway.html
31,The Norwegian Parliament,4.5,https://www.tripadvisor.es//Attraction_Review-g190479-d526934-Reviews-The_Norwegian_Parliament-Oslo_Eastern_Norway.html
32,HIMKOK Storgata Destilleri,4.5,https://www.tripadvisor.es//Attraction_Review-g190479-d9728319-Reviews-HIMKOK_Storgata_Destilleri-Oslo_Eastern_Norway.html
33,Akerselva River,4.5,https://www.tripadvisor.es//Attraction_Review-g190479-d3478798-Reviews-Akerselva_River-Oslo_Eastern_Norway.html
34,The Ibsen Museum,4.5,https://www.tripadvisor.es//Attraction_Review-g190479-d246068-Reviews-The_Ibsen_Museum-Oslo_Eastern_Norway.html
35,Oslo's Harbour Promenade,4.5,https://www.tripadvisor.es//Attraction_Review-g190479-d8319331-Reviews-Oslo_s_Harbour_Promenade-Oslo_Eastern_Norway.html
36,Oslo Cathedral,4.5,https://www.tripadvisor.es//Attraction_Review-g190479-d590393-Reviews-Oslo_Cathedral-Oslo_Eastern_Norway.html
37,22. Juli-senteret,4.5,https://www.tripadvisor.es//Attraction_Review-g190479-d8825973-Reviews-22_Juli_senteret-Oslo_Eastern_Norway.html
38,Tjuvholmen Sculpture Park,4.5,https://www.tripadvisor.es//Attraction_Review-g190479-d8131808-Reviews-Tjuvholmen_Sculpture_Park-Oslo_Eastern_Norway.html
39,Emanuel Vigeland Museum,4.5,https://www.tripadvisor.es//Attraction_Review-g190479-d246070-Reviews-Emanuel_Vigeland_Museum-Oslo_Eastern_Norway.html
40,Damstredet,4.0,https://www.tripadvisor.es//Attraction_Review-g190479-d3512358-Reviews-Damstredet-Oslo_Eastern_Norway.html
41,Oslo City Hall Gallery,4.0,https://www.tripadvisor.es//Attraction_Review-g190479-d3473916-Reviews-Oslo_City_Hall_Gallery-Oslo_Eastern_Norway.html
42,Oslo Visitor Centre,4.5,https://www.tripadvisor.es//Attraction_Review-g190479-d7624011-Reviews-Oslo_Visitor_Centre-Oslo_Eastern_Norway.html
43,Armed Forces Museum,4.0,https://www.tripadvisor.es//Attraction_Review-g190479-d206478-Reviews-Armed_Forces_Museum-Oslo_Eastern_Norway.html
44,The Viking Planet Oslo,4.5,https://www.tripadvisor.es//Attraction_Review-g190479-d17566939-Reviews-The_Viking_Planet_Oslo-Oslo_Eastern_Norway.html
45,Tiger Sculpture,4.0,https://www.tripadvisor.es//Attraction_Review-g190479-d8131893-Reviews-Tiger_Sculpture-Oslo_Eastern_Norway.html
46,Oslo Opera House,4.0,https://www.tripadvisor.es//Attraction_Review-g190479-d23994914-Reviews-Oslo_Opera_House-Oslo_Eastern_Norway.html
47,VR Games Zone,4.5,https://www.tripadvisor.es//Attraction_Review-g190479-d10393623-Reviews-VR_Games_Zone-Oslo_Eastern_Norway.html
48,Deichman Bjørvika,4.5,https://www.tripadvisor.es//Attraction_Review-g190479-d21288066-Reviews-Deichman_Bjorvika-Oslo_Eastern_Norway.html
49,Sporveien T-Banen,4.5,https://www.tripadvisor.es//Attraction_Review-g190479-d543252-Reviews-Sporveien_T_Banen-Oslo_Eastern_Norway.html
50,Ostbanehallen,4.0,https://www.tripadvisor.es//Attraction_Review-g190479-d7702538-Reviews-Ostbanehallen-Oslo_Eastern_Norway.html
51,Huk,5.0,https://www.tripadvisor.es//Attraction_Review-g190479-d3506685-Reviews-Huk-Oslo_Eastern_Norway.html
52,Norwegian Maritime Museum,4.5,https://www.tripadvisor.es//Attraction_Review-g190479-d206465-Reviews-Norwegian_Maritime_Museum-Oslo_Eastern_Norway.html
53,Barcode Oslo,4.5,https://www.tripadvisor.es//Attraction_Review-g190479-d8131884-Reviews-Barcode_Oslo-Oslo_Eastern_Norway.html
54,Naturhistorisk museum,4.5,https://www.tripadvisor.es//Attraction_Review-g190479-d2306245-Reviews-Naturhistorisk_museum-Oslo_Eastern_Norway.html
55,The Palace Park,4.5,https://www.tripadvisor.es//Attraction_Review-g190479-d5549686-Reviews-The_Palace_Park-Oslo_Eastern_Norway.html
56,Vettakollen Viewpoint,4.0,https://www.tripadvisor.es//Attraction_Review-g190479-d7383784-Reviews-Vettakollen_Viewpoint-Oslo_Eastern_Norway.html
57,Waterfall at Molla,4.5,https://www.tripadvisor.es//Attraction_Review-g190479-d3491286-Reviews-Waterfall_at_Molla-Oslo_Eastern_Norway.html
58,Roseslottet,4.0,https://www.tripadvisor.es//Attraction_Review-g190479-d20994864-Reviews-Roseslottet-Oslo_Eastern_Norway.html
59,She Lies,4.5,https://www.tripadvisor.es//Attraction_Review-g190479-d8444295-Reviews-She_Lies-Oslo_Eastern_Norway.html
